Product_Name,Finish_Type,Internal_SKU,Primary_Hue,Undertone,Depth_Level,Saturation_Level,Opacity_Level,Board_Group,Board_Row,Board_Column,Bottle_System,MOQ,Status,Notes,RRP,Distributor_Price,Private_Label_Price,Hex_Code,Swatch_Image,Swatch_Status
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0001,Black,Neutral,Light,Soft,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0001.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0002,White,Neutral,Light,Soft,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0002.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0003,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0003.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0004,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0004.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0005,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0005.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0006,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0006.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0007,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0007.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0008,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0008.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0009,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0009.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0010,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0010.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0011,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0011.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0012,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0012.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0013,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0013.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0014,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0014.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0015,Nude,Neutral,Light,Soft,4,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0015.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0016,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0016.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0017,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0017.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0018,Pink,Neutral,Light,Balanced,5,,,,CSV ready,30,Active,,,,,,/img/solid-colour/LC-GP-0018.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0019,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0019.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0020,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0020.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0021,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0021.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0022,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0022.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0023,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0023.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0024,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0024.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0025,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0025.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0026,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0026.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0027,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0027.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0028,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0028.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0029,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0029.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0030,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0030.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0031,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0031.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0032,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0032.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0033,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0033.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0034,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0034.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0035,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0035.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0036,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0036.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0037,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0037.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0038,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0038.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0039,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0039.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0040,Pink,Neutral,Light,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0040.webp,
Shade SOLID_CREAM,SOLID_CREAM,LC-GP-0041,Pink,Neutral,Medium,Balanced,5,,,,10ml/15ml,30,Active,,,,,,/img/solid-colour/LC-GP-0041.webp,
