"category","subcategory","product_name","code","size","unit","moq","price","image_url","notes","active"
"Gel Polish","Classic Colors","Classic Red","GP-RED-001","10","ml","6","0","/images/products/gel-polish-red.jpg","Vibrant classic red","TRUE"
"Gel Polish","Classic Colors","Classic Pink","GP-PNK-002","10","ml","6","0","/images/products/gel-polish-pink.jpg","Soft classic pink","TRUE"
"Gel Polish","Classic Colors","Classic White","GP-WHT-003","10","ml","6","0","","Pure white gel polish","TRUE"
"Gel Polish","Classic Colors","Classic Black","GP-BLK-004","10","ml","6","0","","Deep black gel polish","TRUE"
"Gel Polish","Metallics","Metallic Silver","GP-SLV-101","10","ml","6","0","","Metallic silver finish","TRUE"
"Gel Polish","Metallics","Metallic Gold","GP-GLD-102","10","ml","6","0","","Metallic gold finish","TRUE"
"Gel Polish","Metallics","Rose Gold","GP-RGD-103","10","ml","6","0","","Trendy rose gold","TRUE"
"Nail Art","Pigments","Chrome Powder Silver","NA-CHR-SLV","2","g","12","0","","Mirror chrome effect","TRUE"
"Nail Art","Pigments","Chrome Powder Gold","NA-CHR-GLD","2","g","12","0","","Mirror chrome effect in gold","TRUE"
"Nail Art","Pigments","Aurora Pigment","NA-AUR-001","2","g","12","0","","Unicorn aurora effect","TRUE"
"Nail Art","Glitters","Holographic Glitter Fine","NA-GLT-HF","5","g","12","0","","Fine holographic glitter","TRUE"
"Nail Art","Glitters","Holographic Glitter Chunky","NA-GLT-HC","5","g","12","0","","Chunky holographic glitter","TRUE"
"Liquids","Cleansers","Nail Prep Dehydrator","LIQ-PREP-100","100","ml","1","0","","Prepares nails for application","TRUE"
"Liquids","Cleansers","Nail Prep Dehydrator","LIQ-PREP-500","500","ml","1","0","","Prepares nails for application","TRUE"
"Liquids","Cleansers","Gel Cleanser","LIQ-CLNR-100","100","ml","1","0","","Removes sticky layer","TRUE"
"Liquids","Cleansers","Gel Cleanser","LIQ-CLNR-500","500","ml","1","0","","Removes sticky layer","TRUE"
"Liquids","Removers","Gel Remover","LIQ-REMV-100","100","ml","1","0","","Professional gel remover","TRUE"
"Accessories","Tools","Crystal Nail File","ACC-FILE-001","1","pc","12","0","","Professional glass file","TRUE"
"Accessories","Tools","Buffer Block 4-Way","ACC-BUFF-001","1","pc","24","0","","4-sided buffer block","TRUE"
"Accessories","Brushes","Detail Art Brush Set","ACC-BRS-SET","1","set","6","0","","Professional art brush set","TRUE"
"Builder Gel","Acrylics","Acrylic Builder Seed","AUTO-ACY-ROUTE-01","15","ml","25","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Builder Gel","Fiberglass","Fiberglass Builder Seed","AUTO-FG-ROUTE-01","15","ml","25","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Top & Base","Rubber Bases","Rubber Base Seed","AUTO-RB-ROUTE-01","15","ml","1","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Top & Base","Classic Base","Classic Base Seed","AUTO-CB-ROUTE-01","15","ml","1","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"=======","","","","","","","","","",""
"Builder Gel","3-in-1","3-in-1 Builder Gel Seed","AUTO-3IN1-ROUTE-01","15","ml","25","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Builder Gel","BIAB","Builder In A Bottle Seed","AUTO-BIAB-ROUTE-01","15","ml","25","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Polygel","Liquid Polygel","Liquid Polygel Seed","AUTO-LPG-ROUTE-01","15","ml","25","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Top & Base","Extra Strength Base","Extra Strength Base Seed","AUTO-ESB-ROUTE-01","15","ml","1","0","","AUTO_B2B_ROUTE_SEED","TRUE"
"Polygel","Polygel","Polygel Seed","AUTO-PG-ROUTE-01","30","g","100","0","","AUTO_B2B_ROUTE_SEED","TRUE"
